Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
53369136	1.0000000000	165.068820
53369976	0.9600000000	158.500400
53370818	0.9200000000	151.926620
53371659	0.8800000000	145.343240
53372503	0.8400000000	138.789680
53373344	0.8000000000	132.232720
53374189	0.7600000000	125.635340
53375031	0.7200000000	119.126460
53375874	0.6800000000	112.545270
53376721	0.6400000000	105.970190
53377563	0.6000000000	 99.379470
53378409	0.5600000000	 92.806790
53379254	0.5200000000	 86.256400
53380097	0.4800000000	 79.654440
53380939	0.4400000000	 73.101420
53381783	0.4000000000	 66.487790
53382624	0.3600000000	 59.912910
53383470	0.3200000000	 53.380330
53384312	0.2800000000	 46.770630
53385158	0.2400000000	 40.209070
53385999	0.2000000000	 33.631490
53386842	0.1600000000	 27.038280
53387690	0.1200000000	 20.470500
53388531	0.0800000000	 13.884500
53389377	0.0400000000	  7.310960
53390222	-0.0000000000	  0.734680
53391066	-0.0400000000	 -5.737070
53391909	-0.0800000000	-12.297850
53392754	-0.1200000000	-18.929950
53393595	-0.1600000000	-25.543380
53394437	-0.2000000000	-32.112780
53395278	-0.2400000000	-38.635420
53396198	-0.2800000000	-45.231270
53397042	-0.3200000000	-51.790840
53397885	-0.3600000000	-58.372580
53398728	-0.4000000000	-64.974650
53399575	-0.4400000000	-71.551800
53400418	-0.4800000000	-78.122730
53401263	-0.5200000000	-84.725790
53402107	-0.5600000000	-91.276400
53402949	-0.6000000000	-97.846330
53403794	-0.6400000000	-104.428090
53404641	-0.6800000000	-111.000540
53405485	-0.7200000000	-117.547000
53406330	-0.7600000000	-124.141190
53407175	-0.8000000000	-130.720870
53408017	-0.8400000000	-137.296400
53408862	-0.8800000000	-143.880440
53409706	-0.9200000000	-150.473860
53410548	-0.9600000000	-157.038040
53411390	-1.0000000000	-163.609510
53412236	-0.9600000000	-157.027550
53413078	-0.9200000000	-150.500950
53413923	-0.8800000000	-143.958210
53414767	-0.8400000000	-137.329390
53415610	-0.8000000000	-130.743160
53416453	-0.7600000000	-124.177230
53417297	-0.7200000000	-117.584570
53418139	-0.6800000000	-111.017910
53418977	-0.6400000000	-104.515140
53419822	-0.6000000000	-97.821200
53420666	-0.5600000000	-91.284480
53421509	-0.5200000000	-84.726990
53422355	-0.4800000000	-78.137260
53423202	-0.4400000000	-71.558030
53424047	-0.4000000000	-64.958050
53424892	-0.3600000000	-58.362960
53425737	-0.3200000000	-51.807440
53426607	-0.2800000000	-45.229740
53427452	-0.2400000000	-38.651700
53428295	-0.2000000000	-32.131890
53429131	-0.1600000000	-25.549720
53430039	-0.1200000000	-18.959550
53430881	-0.0800000000	-12.369730
53431729	-0.0400000000	 -5.740450
53432575	-0.0000000000	  0.843360
53433423	0.0400000000	  7.400850
53434348	0.0800000000	 13.975930
53435191	0.1200000000	 20.557990
53436037	0.1600000000	 27.125440
53436880	0.2000000000	 33.707400
53437725	0.2400000000	 40.300720
53438572	0.2800000000	 46.827970
53439417	0.3200000000	 53.458320
53440262	0.3600000000	 60.065510
53441107	0.4000000000	 66.616570
53441952	0.4400000000	 73.193830
53442798	0.4800000000	 79.786710
53443640	0.5200000000	 86.404300
53444489	0.5600000000	 92.969220
53445332	0.6000000000	 99.508260
53446181	0.6400000000	106.102140
53447027	0.6800000000	112.683660
53447871	0.7200000000	119.280470
53448717	0.7600000000	125.845850
53449566	0.8000000000	132.387610
53450413	0.8400000000	139.039490
53451259	0.8800000000	145.604300
53452104	0.9200000000	152.197620
53452953	0.9600000000	158.776430
