Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
53271200	1.0000000000	171.011350
53272042	0.9600000000	163.954240
53272890	0.9200000000	156.800110
53273818	0.8800000000	149.840220
53274661	0.8400000000	142.953520
53275497	0.8000000000	135.659580
53276333	0.7600000000	128.633060
53277181	0.7200000000	121.696630
53278025	0.6800000000	114.789930
53278863	0.6400000000	107.969960
53279706	0.6000000000	101.142110
53280546	0.5600000000	 94.342780
53281387	0.5200000000	 87.564530
53282231	0.4800000000	 80.790970
53283075	0.4400000000	 74.037080
53283919	0.4000000000	 67.319030
53284759	0.3600000000	 60.615910
53285620	0.3200000000	 53.902550
53286462	0.2800000000	 47.219010
53287306	0.2400000000	 40.539490
53288151	0.2000000000	 33.851690
53288994	0.1600000000	 27.189450
53289874	0.1200000000	 20.558540
53290718	0.0800000000	 13.907550
53291559	0.0400000000	  7.275240
53292402	-0.0000000000	  0.642160
53293245	-0.0400000000	 -5.953780
53294088	-0.0800000000	-12.591570
53294931	-0.1200000000	-19.210890
53295778	-0.1600000000	-25.805420
53296620	-0.2000000000	-32.420910
53297465	-0.2400000000	-38.965080
53298313	-0.2800000000	-45.565840
53299157	-0.3200000000	-52.147140
53299998	-0.3600000000	-58.732490
53300841	-0.4000000000	-65.329100
53301685	-0.4400000000	-71.930500
53302528	-0.4800000000	-78.531570
53303379	-0.5200000000	-85.138460
53304221	-0.5600000000	-91.724890
53305068	-0.6000000000	-98.303560
53305921	-0.6400000000	-104.863910
53306766	-0.6800000000	-111.428390
53307610	-0.7200000000	-118.028920
53308543	-0.7600000000	-124.579420
53309386	-0.8000000000	-131.162270
53310229	-0.8400000000	-137.721850
53311077	-0.8800000000	-144.327950
53311923	-0.9200000000	-150.858680
53312767	-0.9600000000	-157.441640
53313610	-1.0000000000	-163.981430
53314455	-0.9600000000	-157.388550
53315299	-0.9200000000	-150.818590
53316142	-0.8800000000	-144.193600
53316986	-0.8400000000	-137.634800
53317831	-0.8000000000	-131.027040
53318682	-0.7600000000	-124.402470
53319527	-0.7200000000	-117.848140
53320372	-0.6800000000	-111.239210
53321214	-0.6400000000	-104.661070
53322056	-0.6000000000	-98.034420
53322898	-0.5600000000	-91.428660
53323745	-0.5200000000	-84.867890
53324592	-0.4800000000	-78.269860
53325435	-0.4400000000	-71.694240
53326282	-0.4000000000	-65.091750
53327119	-0.3600000000	-58.506160
53327965	-0.3200000000	-51.941680
53328811	-0.2800000000	-45.333180
53329656	-0.2400000000	-38.712100
53330502	-0.2000000000	-32.255430
53331348	-0.1600000000	-25.628910
53332198	-0.1200000000	-19.043440
53333044	-0.0800000000	-12.476120
53333889	-0.0400000000	 -5.900260
53334733	-0.0000000000	  0.672530
53335577	0.0400000000	  7.249240
53336419	0.0800000000	 13.834910
53337255	0.1200000000	 20.428990
53338123	0.1600000000	 26.991420
53338970	0.2000000000	 33.561690
53339814	0.2400000000	 40.167130
53340658	0.2800000000	 46.755110
53341504	0.3200000000	 53.331940
53342349	0.3600000000	 59.892810
53343191	0.4000000000	 66.476540
53344040	0.4400000000	 73.034680
53344889	0.4800000000	 79.625820
53345734	0.5200000000	 86.217620
53346580	0.5600000000	 92.790950
53347432	0.6000000000	 99.354900
53348279	0.6400000000	105.923330
53349127	0.6800000000	112.516970
53349971	0.7200000000	119.050220
53350817	0.7600000000	125.655770
53351666	0.8000000000	132.200820
53352512	0.8400000000	138.803990
53353506	0.8800000000	145.354270
53354351	0.9200000000	151.952500
53355203	0.9600000000	158.517440
