Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
52468709	1.0000000000	118.419410
52469807	0.9600000000	113.731500
52470899	0.9200000000	109.004810
52471982	0.8800000000	104.246530
52473074	0.8400000000	 99.557960
52474166	0.8000000000	 94.821870
52475258	0.7600000000	 90.082280
52476433	0.7200000000	 85.374810
52477525	0.6800000000	 80.677700
52478624	0.6400000000	 75.948170
52479719	0.6000000000	 71.200060
52480812	0.5600000000	 66.495440
52481903	0.5200000000	 61.769160
52482995	0.4800000000	 57.074580
52484086	0.4400000000	 52.334340
52485178	0.4000000000	 47.636160
52486271	0.3600000000	 42.896580
52487417	0.3200000000	 38.179590
52488509	0.2800000000	 33.481950
52489602	0.2400000000	 28.756680
52490694	0.2000000000	 24.016880
52491787	0.1600000000	 19.304040
52492878	0.1200000000	 14.586410
52493975	0.0800000000	  9.864420
52495069	0.0400000000	  5.144500
52496162	-0.0000000000	  0.408740
52497255	-0.0400000000	 -4.315990
52498349	-0.0800000000	 -9.036670
52499444	-0.1200000000	-13.756400
52500541	-0.1600000000	-18.477080
52501636	-0.2000000000	-23.193960
52502722	-0.2400000000	-27.886140
52503818	-0.2800000000	-32.613700
52504912	-0.3200000000	-37.332640
52506007	-0.3600000000	-42.043950
52507104	-0.4000000000	-46.781020
52508198	-0.4400000000	-51.492310
52509296	-0.4800000000	-56.204810
52510391	-0.5200000000	-60.926260
52511484	-0.5600000000	-65.668590
52512578	-0.6000000000	-70.375400
52513675	-0.6400000000	-75.086800
52514774	-0.6800000000	-79.797330
52515870	-0.7200000000	-84.498260
52516968	-0.7600000000	-89.194920
52518065	-0.8000000000	-93.919200
52519213	-0.8400000000	-98.630380
52520307	-0.8800000000	-103.345050
52521409	-0.9200000000	-108.040530
52522505	-0.9600000000	-112.779670
52523604	-1.0000000000	-117.493040
52524703	-0.9600000000	-112.785350
52525799	-0.9200000000	-108.061830
52526895	-0.8800000000	-103.348330
52527990	-0.8400000000	-98.631800
52529089	-0.8000000000	-93.919410
52530186	-0.7600000000	-89.152970
52531284	-0.7200000000	-84.462110
52532379	-0.6800000000	-79.739110
52533478	-0.6400000000	-75.026620
52534574	-0.6000000000	-70.308880
52535669	-0.5600000000	-65.592670
52536769	-0.5200000000	-60.870990
52537866	-0.4800000000	-56.158060
52538964	-0.4400000000	-51.433330
52540059	-0.4000000000	-46.721270
52541155	-0.3600000000	-41.982350
52542331	-0.3200000000	-37.258800
52543426	-0.2800000000	-32.554720
52544525	-0.2400000000	-27.829450
52545620	-0.2000000000	-23.127110
52546716	-0.1600000000	-18.409250
52547810	-0.1200000000	-13.692060
52548908	-0.0800000000	 -8.965460
52550004	-0.0400000000	 -4.231230
52551098	-0.0000000000	  0.483670
52552178	0.0400000000	  5.205660
52553274	0.0800000000	  9.922640
52554376	0.1200000000	 14.630870
52555471	0.1600000000	 19.354070
52556566	0.2000000000	 24.068000
52557667	0.2400000000	 28.801030
52558765	0.2800000000	 33.531210
52559865	0.3200000000	 38.254520
52560960	0.3600000000	 42.969980
52562056	0.4000000000	 47.673740
52563155	0.4400000000	 52.407860
52564255	0.4800000000	 57.130510
52565350	0.5200000000	 61.864630
52566450	0.5600000000	 66.557150
52567547	0.6000000000	 71.279580
52568645	0.6400000000	 76.016320
52569770	0.6800000000	 80.731770
52570872	0.7200000000	 85.433140
52571970	0.7600000000	 90.137980
52573067	0.8000000000	 94.859660
52574164	0.8400000000	 99.591710
52575261	0.8800000000	104.333580
52576361	0.9200000000	109.020750
52577474	0.9600000000	113.705280
