Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
53568875	1.0000000000	252.144370
53569706	0.9600000000	242.098610
53570539	0.9200000000	231.983610
53571376	0.8800000000	221.893420
53572208	0.8400000000	211.764640
53573039	0.8000000000	201.738120
53573868	0.7600000000	191.605960
53574698	0.7200000000	181.703530
53575548	0.6800000000	171.607640
53576377	0.6400000000	161.590730
53577219	0.6000000000	151.485550
53578061	0.5600000000	141.469960
53578904	0.5200000000	131.377450
53579740	0.4800000000	121.282100
53580576	0.4400000000	111.194200
53581428	0.4000000000	101.162100
53582311	0.3600000000	 91.101610
53583143	0.3200000000	 81.048860
53583998	0.2800000000	 70.966970
53584837	0.2400000000	 60.926560
53585667	0.2000000000	 50.819000
53586510	0.1600000000	 40.757520
53587344	0.1200000000	 30.681960
53588173	0.0800000000	 20.634450
53589017	0.0400000000	 10.537600
53589848	-0.0000000000	  0.494920
53590699	-0.0400000000	 -9.502430
53591545	-0.0800000000	-19.629560
53592390	-0.1200000000	-29.693010
53593221	-0.1600000000	-39.739730
53594067	-0.2000000000	-49.842290
53594901	-0.2400000000	-59.811570
53595746	-0.2800000000	-69.879610
53596583	-0.3200000000	-79.946320
53597421	-0.3600000000	-90.008350
53598265	-0.4000000000	-100.091870
53599110	-0.4400000000	-110.127690
53599954	-0.4800000000	-120.231210
53600790	-0.5200000000	-130.294110
53601636	-0.5600000000	-140.338560
53602480	-0.6000000000	-150.416850
53603335	-0.6400000000	-160.488380
53604179	-0.6800000000	-170.548090
53605026	-0.7200000000	-180.606630
53605864	-0.7600000000	-190.713860
53606715	-0.8000000000	-200.719210
53607560	-0.8400000000	-210.837900
53608421	-0.8800000000	-220.906710
53609271	-0.9200000000	-230.951460
53610114	-0.9600000000	-240.999590
53610962	-1.0000000000	-251.053540
53611808	-0.9600000000	-240.928810
53612652	-0.9200000000	-230.887670
53613579	-0.8800000000	-220.847400
53614409	-0.8400000000	-210.763740
53615264	-0.8000000000	-200.646360
53616108	-0.7600000000	-190.588680
53616944	-0.7200000000	-180.517710
53617790	-0.6800000000	-170.472280
53618635	-0.6400000000	-160.341250
53619488	-0.6000000000	-150.203080
53620333	-0.5600000000	-140.218190
53621176	-0.5200000000	-130.145010
53622021	-0.4800000000	-120.078830
53622868	-0.4400000000	-110.010810
53623712	-0.4000000000	-99.924530
53624557	-0.3600000000	-89.928170
53625393	-0.3200000000	-79.852600
53626236	-0.2800000000	-69.765240
53627080	-0.2400000000	-59.733910
53627925	-0.2000000000	-49.610180
53628772	-0.1600000000	-38.879990
53629617	-0.1200000000	-29.469970
53630465	-0.0800000000	-19.592750
53631379	-0.0400000000	 -9.515430
53632222	-0.0000000000	  0.527360
53633067	0.0400000000	 10.466050
53633911	0.0800000000	 21.629010
53634762	0.1200000000	 31.116470
53635595	0.1600000000	 40.925620
53636425	0.2000000000	 50.885740
53637269	0.2400000000	 60.992760
53638107	0.2800000000	 70.918690
53638955	0.3200000000	 81.396760
53639803	0.3600000000	 91.565510
53640649	0.4000000000	101.262590
53641500	0.4400000000	111.546470
53642349	0.4800000000	121.348410
53643201	0.5200000000	131.433600
53644045	0.5600000000	141.370560
53644947	0.6000000000	151.588660
53645796	0.6400000000	161.064790
53646639	0.6800000000	171.869570
53647495	0.7200000000	181.612540
53648337	0.7600000000	191.838400
53649184	0.8000000000	201.917580
53650026	0.8400000000	212.050060
53650872	0.8800000000	222.088180
53651718	0.9200000000	232.198580
53652565	0.9600000000	242.279060
