Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
873121900	0.1000000000	86584.102000
873123096	0.0960000000	83836.376000
873124032	0.0920000000	79291.682000
873124993	0.0880000000	75654.803000
873125952	0.0840000000	72199.598000
873126903	0.0800000000	69874.197000
873127856	0.0760000000	64931.603000
873128812	0.0720000000	62944.309000
873129767	0.0680000000	59267.445000
873130725	0.0640000000	54663.865000
873131680	0.0600000000	51023.220000
873132641	0.0560000000	47226.177000
873133599	0.0520000000	44643.967000
873134558	0.0480000000	41750.136000
873135512	0.0440000000	37036.202000
873136484	0.0400000000	34128.741000
873137426	0.0360000000	30568.346000
873138376	0.0320000000	27308.406000
873139333	0.0280000000	22982.708000
873140291	0.0240000000	19751.212000
873141250	0.0200000000	17212.274000
873142188	0.0160000000	14018.951000
873143147	0.0120000000	11209.894000
873144083	0.0080000000	6869.613000
873145358	0.0040000000	2986.689000
873146640	-0.0000000000	-361.983000
873147923	-0.0040000000	-3672.143000
873149200	-0.0080000000	-6183.885000
873150468	-0.0120000000	-10031.835000
873151827	-0.0160000000	-13392.746000
873152783	-0.0200000000	-15486.908000
873153731	-0.0240000000	-20170.574000
873154689	-0.0280000000	-22618.000000
873155652	-0.0320000000	-26120.450000
873156609	-0.0360000000	-28063.024000
873157549	-0.0400000000	-31220.197000
873158566	-0.0440000000	-35313.325000
873159522	-0.0480000000	-39260.784000
873160467	-0.0520000000	-41611.474000
873161436	-0.0560000000	-43799.559000
873162397	-0.0600000000	-46935.235000
873163355	-0.0640000000	-50528.540000
873164310	-0.0680000000	-54853.159000
873165267	-0.0720000000	-57128.271000
873166228	-0.0760000000	-59925.782000
873167178	-0.0800000000	-63489.489000
873168148	-0.0840000000	-65623.689000
873169087	-0.0880000000	-68553.394000
873170038	-0.0920000000	-72803.732000
873170985	-0.0960000000	-75954.639000
873171947	-0.1000000000	-78915.045000
873172968	-0.0960000000	-75734.432000
873173928	-0.0920000000	-72462.716000
873174887	-0.0880000000	-69012.995000
873175847	-0.0840000000	-65317.424000
873176804	-0.0800000000	-61128.467000
873177761	-0.0760000000	-58815.195000
873178719	-0.0720000000	-56112.568000
873179675	-0.0680000000	-52561.824000
873180640	-0.0640000000	-49701.955000
873181597	-0.0600000000	-45245.044000
873182553	-0.0560000000	-42070.512000
873183498	-0.0520000000	-38717.901000
873184454	-0.0480000000	-36288.169000
873185411	-0.0440000000	-33971.066000
873186369	-0.0400000000	-30376.773000
873187329	-0.0360000000	-27048.028000
873188289	-0.0320000000	-23207.548000
873189247	-0.0280000000	-20273.824000
873190203	-0.0240000000	-17837.935000
873191145	-0.0200000000	-15491.024000
873192086	-0.0160000000	-12365.767000
873193040	-0.0120000000	-8624.477000
873194321	-0.0080000000	-5488.764000
873195603	-0.0040000000	-2453.171000
873196888	-0.0000000000	482.703000
873198170	0.0040000000	3470.399000
873199452	0.0080000000	6437.042000
873200740	0.0120000000	8547.790000
873202006	0.0160000000	11416.814000
873202963	0.0200000000	14592.921000
873203924	0.0240000000	17348.152000
873204863	0.0280000000	21007.583000
873205819	0.0320000000	24394.616000
873206779	0.0360000000	27760.351000
873207740	0.0400000000	28276.080000
873208696	0.0440000000	31684.732000
873209652	0.0480000000	35628.850000
873210611	0.0520000000	38475.858000
873211558	0.0560000000	40884.418000
873212515	0.0600000000	44092.778000
873213473	0.0640000000	46376.225000
873214438	0.0680000000	49515.012000
873215395	0.0720000000	51100.857000
873216414	0.0760000000	53839.047000
873217373	0.0800000000	57160.979000
873218334	0.0840000000	60121.691000
873219336	0.0880000000	63045.014000
873220300	0.0920000000	64980.285000
873221260	0.0960000000	68426.156000
