Time (arb. units) (msecs)	Current (microA)	Voltage (microV)
53075300	1.0000000000	133.598530
53076141	0.9600000000	128.161950
53076991	0.9200000000	122.780190
53077832	0.8800000000	117.452400
53078674	0.8400000000	112.080820
53079515	0.8000000000	106.719940
53080360	0.7600000000	101.378380
53081202	0.7200000000	 96.069930
53082053	0.6800000000	 90.761030
53082895	0.6400000000	 85.412060
53083737	0.6000000000	 80.120520
53084578	0.5600000000	 74.791210
53085421	0.5200000000	 69.516070
53086266	0.4800000000	 64.222040
53087107	0.4400000000	 58.935090
53087949	0.4000000000	 53.632540
53088790	0.3600000000	 48.384600
53089634	0.3200000000	 43.108160
53090480	0.2800000000	 37.830160
53091371	0.2400000000	 32.558630
53092213	0.2000000000	 27.280110
53093058	0.1600000000	 22.004980
53093904	0.1200000000	 16.723820
53094746	0.0800000000	 11.470090
53095591	0.0400000000	  6.203800
53096440	-0.0000000000	  0.930200
53097282	-0.0400000000	 -4.316640
53098128	-0.0800000000	 -9.570480
53098971	-0.1200000000	-14.840390
53099814	-0.1600000000	-20.086910
53100656	-0.2000000000	-25.330270
53101500	-0.2400000000	-30.570670
53102347	-0.2800000000	-35.818720
53103192	-0.3200000000	-41.075390
53104100	-0.3600000000	-46.335470
53104945	-0.4000000000	-51.590620
53105789	-0.4400000000	-56.838880
53106624	-0.4800000000	-62.094900
53107468	-0.5200000000	-67.351050
53108309	-0.5600000000	-72.621820
53109155	-0.6000000000	-77.864950
53109997	-0.6400000000	-83.128720
53110870	-0.6800000000	-88.351230
53111741	-0.7200000000	-93.615110
53112585	-0.7600000000	-98.852880
53113428	-0.8000000000	-104.094480
53114275	-0.8400000000	-109.312620
53115122	-0.8800000000	-114.567650
53115966	-0.9200000000	-119.813730
53116805	-0.9600000000	-125.056860
53117650	-1.0000000000	-130.325020
53118491	-0.9600000000	-125.073790
53119335	-0.9200000000	-119.811760
53120178	-0.8800000000	-114.550830
53121060	-0.8400000000	-109.277220
53121907	-0.8000000000	-104.018560
53122758	-0.7600000000	-98.779370
53123604	-0.7200000000	-93.515060
53124526	-0.6800000000	-88.262100
53125373	-0.6400000000	-83.000810
53126218	-0.6000000000	-77.831740
53127087	-0.5600000000	-72.491830
53127921	-0.5200000000	-67.151380
53128768	-0.4800000000	-62.100260
53129600	-0.4400000000	-56.767230
53130445	-0.4000000000	-51.483900
53131292	-0.3600000000	-46.247760
53132137	-0.3200000000	-40.979820
53132981	-0.2800000000	-35.738760
53133828	-0.2400000000	-30.466030
53134672	-0.2000000000	-25.250650
53135516	-0.1600000000	-19.964350
53136364	-0.1200000000	-14.756500
53137208	-0.0800000000	 -9.324380
53138053	-0.0400000000	 -4.008840
53138901	-0.0000000000	  1.202400
53139745	0.0400000000	  6.276550
53140591	0.0800000000	 11.495430
53141436	0.1200000000	 16.736380
53142287	0.1600000000	 22.005630
53143133	0.2000000000	 27.243410
53143978	0.2400000000	 32.523570
53144909	0.2800000000	 37.765390
53145752	0.3200000000	 43.021870
53146599	0.3600000000	 48.280940
53147450	0.4000000000	 53.531610
53148301	0.4400000000	 58.788280
53149145	0.4800000000	 64.036020
53149992	0.5200000000	 69.283850
53150836	0.5600000000	 74.551450
53151682	0.6000000000	 79.821880
53152529	0.6400000000	 85.050830
53153376	0.6800000000	 90.316250
53154232	0.7200000000	 95.578610
53155078	0.7600000000	100.823050
53155921	0.8000000000	106.080070
53156768	0.8400000000	111.305620
53157614	0.8800000000	116.530180
53158465	0.9200000000	121.791990
53159309	0.9600000000	127.069650
